date,home_team,away_team,home_rank,away_rank,home_points,away_points,home_played,away_played,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_goals_for,away_goals_for,home_goals_against,away_goals_against,result
13.11.2022,Fatih Karagümrük,Gazişehir Gaziantep,7,18,51,25,36,36,13,6,12,7,11,23,75,31,63,72,D
13.11.2022,Kayserispor,Konyaspor,9,8,47,51,36,36,15,12,5,15,16,9,55,49,61,41,A
13.11.2022,İstanbulspor,Hatayspor,12,19,41,23,36,36,12,6,5,5,19,25,47,19,63,83,A
23.12.2022,Antalyaspor,Ankaragucu,13,11,41,42,36,36,11,12,8,6,17,18,46,43,55,53,A
23.12.2022,Ümraniyespor,Istanbul Basaksehir,17,5,30,62,36,36,7,18,9,8,20,10,47,54,64,37,A
24.12.2022,Hatayspor,Giresunspor,19,16,23,40,36,36,6,10,5,10,25,16,19,42,83,60,D
24.12.2022,Kasimpasa,Sivasspor,10,14,43,41,36,36,12,11,7,8,17,17,45,46,61,54,A
24.12.2022,Trabzonspor,Fenerbahce,6,2,57,80,36,36,17,25,6,5,13,6,64,87,54,42,H
25.12.2022,Adana Demirspor,Fatih Karagümrük,4,7,69,51,36,36,20,13,9,12,7,11,76,75,45,63,H
25.12.2022,Konyaspor,Alanyaspor,8,15,51,41,36,36,12,11,15,8,9,17,49,54,41,70,D
25.12.2022,Gazişehir Gaziantep,Besiktas,18,3,25,78,36,36,6,23,7,9,23,4,31,78,72,36,D
25.12.2022,Galatasaray,İstanbulspor,1,12,88,41,36,36,28,12,4,5,4,19,83,47,27,63,H
27.12.2022,Istanbul Basaksehir,Antalyaspor,5,13,62,41,36,36,18,11,8,8,10,17,54,46,37,55,H
27.12.2022,Ankaragucu,Ümraniyespor,11,17,42,30,36,36,12,7,6,9,18,20,43,47,53,64,A
27.12.2022,Fenerbahce,Hatayspor,2,19,80,23,36,36,25,6,5,5,6,25,87,19,42,83,H
28.12.2022,Alanyaspor,Kayserispor,15,9,41,47,36,36,11,15,8,5,17,16,54,55,70,61,H
28.12.2022,İstanbulspor,Kasimpasa,12,10,41,43,36,36,12,12,5,7,19,17,47,45,63,61,H
28.12.2022,Fatih Karagümrük,Trabzonspor,7,6,51,57,36,36,13,17,12,6,11,13,75,64,63,54,H
29.12.2022,Sivasspor,Galatasaray,14,1,41,88,36,36,11,28,8,4,17,4,46,83,54,27,A
29.12.2022,Giresunspor,Gazişehir Gaziantep,16,18,40,25,36,36,10,6,10,7,16,23,42,31,60,72,H
29.12.2022,Besiktas,Adana Demirspor,3,4,78,69,36,36,23,20,9,9,4,7,78,76,36,45,H
03.01.2023,Ümraniyespor,Hatayspor,17,19,30,23,36,36,7,6,9,5,20,25,47,19,64,83,D
03.01.2023,Antalyaspor,Fenerbahce,13,2,41,80,36,36,11,25,8,5,17,6,46,87,55,42,A
04.01.2023,Kayserispor,Fatih Karagümrük,9,7,47,51,36,36,15,13,5,12,16,11,55,75,61,63,A
04.01.2023,Kasimpasa,Alanyaspor,10,15,43,41,36,36,12,11,7,8,17,17,45,54,61,70,H
04.01.2023,Konyaspor,Sivasspor,8,14,51,41,36,36,12,11,15,8,9,17,49,46,41,54,D
