home_team_form,home_team_goals_scored,home_team_goals_conceded,home_team_wins,home_team_draws,home_team_losses,home_team_first_half_goals,home_team_clean_sheets,home_team_both_scored,home_team_over_25,home_team_last_5_form,home_team_last_5_goals,home_team_win_streak,home_team_unbeaten,home_team_scoring_streak,home_team_form_trend,home_team_goals_trend,home_team_conceded_trend,home_team_last_3_goals_avg,home_team_last_3_conceded_avg,home_team_first_half_dominance,home_team_second_half_dominance,home_team_comebacks,away_team_form,away_team_goals_scored,away_team_goals_conceded,away_team_wins,away_team_draws,away_team_losses,away_team_first_half_goals,away_team_clean_sheets,away_team_both_scored,away_team_over_25,away_team_last_5_form,away_team_last_5_goals,away_team_win_streak,away_team_unbeaten,away_team_scoring_streak,away_team_form_trend,away_team_goals_trend,away_team_conceded_trend,away_team_last_3_goals_avg,away_team_last_3_conceded_avg,away_team_first_half_dominance,away_team_second_half_dominance,away_team_comebacks,result,both_scored,over_25,total_goals,first_half_goals
70.0,10,3,2,3,0,5,2,3,2,0.0,10,0,5,0,1.33,2.5,0.17,3.0,0.67,2,1,0,50.0,4,5,2,1,2,1,2,2,2,0.0,4,0,3,0,-1.0,0.5,1.67,1.0,1.67,0,2,0,1,0,0,1,1
50.0,8,10,2,1,2,3,2,2,3,0.0,8,1,1,1,-0.17,-1.5,-0.83,1.0,1.67,2,2,0,100.0,9,2,4,0,0,3,2,2,3,0.0,9,4,4,4,0.0,0.33,-0.67,2.33,0.33,2,4,0,0,0,0,0,0
70.0,8,6,2,3,0,2,1,4,3,0.0,8,1,5,2,-0.33,-0.67,-0.5,1.33,1.0,1,2,2,10.0,2,9,0,1,4,1,0,2,2,0.0,2,0,0,0,0.33,0.67,1.33,0.67,2.33,1,0,0,2,0,0,1,1
70.0,9,8,3,1,1,4,2,3,3,0.0,9,2,2,4,-1.67,-0.33,1.83,1.67,2.33,3,2,0,80.0,12,6,4,0,1,5,2,3,3,0.0,12,2,2,5,-1.0,-2.67,-0.5,1.33,1.0,2,2,0,1,0,0,2,0
30.0,8,13,1,1,3,2,0,5,5,0.0,8,0,0,5,-1.17,-0.67,1.0,1.33,3.0,0,2,2,50.0,3,4,1,3,1,2,2,2,0,0.0,3,0,4,2,-1.33,-0.67,0.5,0.33,1.0,1,0,0,1,0,1,3,1
25.0,9,14,1,1,4,8,2,3,4,0.0,9,0,0,0,1.33,-0.33,-4.83,1.67,0.67,2,1,0,12.5,3,8,0,1,3,2,1,2,2,0.0,3,0,0,1,0.33,-1.67,-4.0,0.33,1.0,0,0,0,1,0,0,2,2
16.666666666666664,5,12,0,2,4,4,1,3,3,0.0,3,0,0,2,0.67,-0.67,-2.83,0.33,0.67,2,0,0,60.0,7,6,2,2,1,3,3,2,2,0.0,7,0,2,0,1.0,-0.17,-0.5,1.33,1.0,1,2,1,1,0,0,1,0
70.0,14,5,3,1,1,8,2,2,3,0.0,14,0,4,4,0.0,1.33,0.83,3.33,1.33,3,2,0,40.0,8,8,1,2,2,4,1,2,2,0.0,8,1,2,2,-1.67,-4.0,-1.5,0.0,1.0,1,1,0,1,1,1,4,2
41.66666666666667,4,6,2,1,3,1,2,2,2,0.0,4,0,3,0,-2.33,-1.17,1.17,0.33,1.67,0,2,0,60.0,5,4,2,2,1,2,2,3,3,0.0,5,0,1,0,1.83,0.83,-0.33,1.33,0.67,0,2,1,1,0,1,3,1
90.0,9,2,4,1,0,3,3,2,3,0.0,9,4,5,4,-0.67,-0.33,-1.0,1.67,0.0,2,4,0,75.0,11,8,4,1,1,4,3,3,3,0.0,10,2,2,4,0.33,-1.67,-3.17,1.33,0.33,3,3,0,0,1,0,2,0
